page,breakpoint,component,before_x,after_x,before_width,after_width,before_height,after_height,content_x_reference,after_delta_to_content_x,status
index.html,1024x768,content,170.7,170.7,682.5,682.5,3850.2,3850.2,170.7,0.0,not-applicable
configuracoes.html,1024x768,content,0,0,1024,1024,696.5,696.5,0,0,not-applicable
pedidos.html,1280x800,header,272,280,1008,1000,96,96,328,-48,own-layout-or-pending
pedidos.html,1280x800,inner,358.4,328,835.2,904,48,48,328,0,aligned
pedidos.html,1280x800,actions,416.4,386,374.1,374.1,48,48,328,58,own-layout-or-pending
pedidos.html,1280x800,content,328,328,904,904,1108.8,1108.8,328,0,not-applicable
mensagens.html,1280x800,header,272,272,1008,1008,96,96,318.4,-46.4,own-layout-or-pending
mensagens.html,1280x800,inner,358.4,358.4,835.2,835.2,48,48,318.4,40.0,own-layout-or-pending
mensagens.html,1280x800,actions,0,0,0,0,0,0,318.4,-318.4,own-layout-or-pending
mensagens.html,1280x800,content,318.4,318.4,923.2,923.2,800,800,318.4,0.0,not-applicable
notificacoes.html,1280x800,header,272,280,1008,1000,96,96,328,-48,own-layout-or-pending
notificacoes.html,1280x800,inner,358.4,328,835.2,904,48,48,328,0,aligned
notificacoes.html,1280x800,actions,416.4,386,374.1,374.1,48,48,328,58,own-layout-or-pending
notificacoes.html,1280x800,content,328,328,904,904,8794.7,8794.7,328,0,not-applicable
comunidade.html,1280x800,header,272,280,1008,1000,96,96,328,-48,own-layout-or-pending
comunidade.html,1280x800,inner,358.4,328,835.2,904,48,48,328,0,aligned
comunidade.html,1280x800,actions,416.4,386,377,377,48,48,328,58,own-layout-or-pending
comunidade.html,1280x800,content,328,328,904,904,2525.2,2525.2,328,0,not-applicable
carteira.html,1280x800,header,272,280,1008,1000,96,96,328,-48,own-layout-or-pending
carteira.html,1280x800,inner,358.4,328,835.2,904,48,48,328,0,aligned
carteira.html,1280x800,actions,416.4,386,417.1,417.1,48,48,328,58,own-layout-or-pending
carteira.html,1280x800,content,328,328,904,904,998.5,998.5,328,0,not-applicable
perfil.html,1280x800,header,272,280,1008,1000,96,96,328,-48,own-layout-or-pending
perfil.html,1280x800,inner,358.4,328,835.2,904,48,48,328,0,aligned
perfil.html,1280x800,actions,358.4,328,516,584.7,48,48,328,0,aligned
perfil.html,1280x800,content,328,328,889,889,490.8,490.8,328,0,not-applicable
detalhe-anuncio.html,1280x800,header,272,280,1008,1000,96,96,280,0,aligned
detalhe-anuncio.html,1280x800,inner,358.4,328,835.2,904,48,48,280,48,own-layout-or-pending
detalhe-anuncio.html,1280x800,actions,358.4,328,516,584.7,48,48,280,48,own-layout-or-pending
detalhe-anuncio.html,1280x800,content,280,280,1000,1000,5073.6,5073.6,280,0,not-applicable
resultados.html,1280x800,header,318.4,318.4,923.2,923.2,96,96,328,-9.6,own-layout-or-pending
resultados.html,1280x800,inner,318.4,318.4,923.2,923.2,96,96,328,-9.6,own-layout-or-pending
resultados.html,1280x800,content,328,328,904,904,1718.8,1718.8,328,0,not-applicable
index.html,1280x800,header,272,272,1008,1008,96,96,320,-48,own-layout-or-pending
index.html,1280x800,inner,358.4,358.4,835.2,835.2,48,48,320,38.4,own-layout-or-pending
index.html,1280x800,actions,358.4,358.4,516,516,48,48,320,38.4,own-layout-or-pending
index.html,1280x800,content,320,320,912,912,3563.5,3563.5,320,0,not-applicable
configuracoes.html,1280x800,content,328,328,904,904,927.3,927.3,328,0,not-applicable
