page,breakpoint,component,selector,property,expected,before,after,beforeDiff,afterDiff,status,probableCss
resultados.html,608x926,filter-pills,".search-scope__option span, .search-scope__filter-toggle",fontSize,13.33,16,13.33,2.67,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,608x926,filter-pills,".search-scope__option span, .search-scope__filter-toggle",lineHeight,15.33,0,15.33,-15.33,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,608x926,filter-pills,".search-scope__option span, .search-scope__filter-toggle",box.height,21.31,17,15,-4.31,-23,remaining,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,608x926,filter-pills,".search-scope__option span, .search-scope__filter-toggle",padding.left,6,0,6,-6,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,608x926,filter-pills,".search-scope__option span, .search-scope__filter-toggle",padding.right,6,0,6,-6,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,608x926,filter-pills,".search-scope__option span, .search-scope__filter-toggle",fontSize,13.33,16,13.33,2.67,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,608x926,filter-pills,".search-scope__option span, .search-scope__filter-toggle",lineHeight,15.33,0,15.33,-15.33,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,608x926,filter-pills,".search-scope__option span, .search-scope__filter-toggle",box.height,21.31,17,15,-4.31,-23,remaining,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,608x926,filter-pills,".search-scope__option span, .search-scope__filter-toggle",padding.left,6,0,6,-6,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,608x926,filter-pills,".search-scope__option span, .search-scope__filter-toggle",padding.right,6,0,6,-6,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,608x926,filter-pills,".search-scope__option span, .search-scope__filter-toggle",fontSize,13.33,16,13.33,2.67,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,608x926,filter-pills,".search-scope__option span, .search-scope__filter-toggle",lineHeight,15.33,0,15.33,-15.33,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,608x926,section-headers,.results-related__header,box.height,46,32.97,32.97,-13.03,-13.03,remaining,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,608x926,section-headers,.results-related__header,gap,18,10,10,-8,-8,remaining,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,608x926,section-headers,.results-related__header,box.height,46,32.97,32.97,-13.03,-13.03,remaining,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,608x926,section-headers,.results-related__header,gap,18,10,10,-8,-8,remaining,assets/css/components/layout/marketplace-index-parity-contract.css
detalhe-anuncio.html,608x926,doke-ad-card,[data-similar-ads-grid] > .doke-ad-card,textClipped,false,true,true,clipped,clipped,remaining,assets/css/components/layout/marketplace-index-parity-contract.css
detalhe-anuncio.html,608x926,doke-ad-card,[data-similar-ads-grid] > .doke-ad-card,textClipped,false,true,true,clipped,clipped,remaining,assets/css/components/layout/marketplace-index-parity-contract.css
detalhe-anuncio.html,608x926,doke-ad-card,[data-similar-ads-grid] > .doke-ad-card,textClipped,false,true,true,clipped,clipped,remaining,assets/css/components/layout/marketplace-index-parity-contract.css
detalhe-anuncio.html,608x926,section-headers,.detail-section__header,box.width,572,522,522,-50,-50,remaining,assets/css/components/layout/marketplace-index-parity-contract.css
detalhe-anuncio.html,608x926,section-headers,.detail-section__header,box.height,46,34.03,34.03,-11.97,-11.97,remaining,assets/css/components/layout/marketplace-index-parity-contract.css
detalhe-anuncio.html,608x926,section-headers,.detail-section__header,gap,18,10,10,-8,-8,remaining,assets/css/components/layout/marketplace-index-parity-contract.css
detalhe-anuncio.html,608x926,section-headers,.detail-section__header,box.width,572,522,522,-50,-50,remaining,assets/css/components/layout/marketplace-index-parity-contract.css
