page,breakpoint,component,itemIndex,property,expected,beforeActual,afterActual,beforeDiff,afterDiff,status,probableCss
detalhe-anuncio.html,810x1080,worker-video-card/relacionado,1,box.width,106.84,72.86,106.84,-33.98,0,fixed,assets/css/components/cards/worker-card.css; assets/css/components/layout/focused-index-parity-contract.css
detalhe-anuncio.html,810x1080,worker-video-card/relacionado,1,box.height,189.97,129.52,189.97,-60.45,0,fixed,assets/css/components/cards/worker-card.css; assets/css/components/layout/focused-index-parity-contract.css
detalhe-anuncio.html,810x1080,worker-video-card/relacionado,2,box.width,106.84,72.86,106.84,-33.98,0,fixed,assets/css/components/cards/worker-card.css; assets/css/components/layout/focused-index-parity-contract.css
detalhe-anuncio.html,810x1080,worker-video-card/relacionado,2,box.height,189.97,129.52,189.97,-60.45,0,fixed,assets/css/components/cards/worker-card.css; assets/css/components/layout/focused-index-parity-contract.css
detalhe-anuncio.html,810x1080,worker-video-card/relacionado,3,rel.x,374.53,371.53,374.53,-3,0,fixed,assets/css/components/cards/worker-card.css; assets/css/components/layout/focused-index-parity-contract.css
detalhe-anuncio.html,810x1080,worker-video-card/relacionado,3,box.width,106.86,72.86,106.86,-34,0,fixed,assets/css/components/cards/worker-card.css; assets/css/components/layout/focused-index-parity-contract.css
detalhe-anuncio.html,810x1080,worker-video-card/relacionado,3,box.height,189.97,129.52,189.97,-60.45,0,fixed,assets/css/components/cards/worker-card.css; assets/css/components/layout/focused-index-parity-contract.css
perfil.html,810x1080,header/app-header,0,box.x,0,265,0,265,0,fixed,assets/css/components/shell/app-header-canonical-contract.css; assets/css/components/layout/focused-index-parity-contract.css
perfil.html,810x1080,header/app-header,0,box.width,810,530,810,-280,0,fixed,assets/css/components/shell/app-header-canonical-contract.css; assets/css/components/layout/focused-index-parity-contract.css
perfil.html,810x1080,header/app-header,0,box.height,96,86,96,-10,0,fixed,assets/css/components/shell/app-header-canonical-contract.css; assets/css/components/layout/focused-index-parity-contract.css
perfil.html,810x1080,header/app-header,0,padding.bottom,10,14,10,4,0,fixed,assets/css/components/shell/app-header-canonical-contract.css; assets/css/components/layout/focused-index-parity-contract.css
perfil.html,810x1080,header/app-header__inner,0,box.x,24.3,289.3,24.3,265,0,fixed,assets/css/components/shell/app-header-canonical-contract.css; assets/css/components/layout/focused-index-parity-contract.css
perfil.html,810x1080,header/app-header__inner,0,box.width,761.39,481.39,761.39,-280,0,fixed,assets/css/components/shell/app-header-canonical-contract.css; assets/css/components/layout/focused-index-parity-contract.css
perfil.html,810x1080,header/app-header__inner,0,gap,13.77,11.34,13.77,-2.43,0,fixed,assets/css/components/shell/app-header-canonical-contract.css; assets/css/components/layout/focused-index-parity-contract.css
perfil.html,810x1080,header/location-pill,0,box.x,82.3,347.3,82.3,265,0,fixed,assets/css/components/shell/app-header-canonical-contract.css; assets/css/components/layout/focused-index-parity-contract.css
perfil.html,810x1080,header/profile-pill,0,box.x,652.42,641.02,652.42,-11.4,0,fixed,assets/css/components/shell/app-header-canonical-contract.css; assets/css/components/layout/focused-index-parity-contract.css
perfil.html,810x1080,header/profile-pill,0,box.width,133.27,129.67,133.27,-3.6,0,fixed,assets/css/components/shell/app-header-canonical-contract.css; assets/css/components/layout/focused-index-parity-contract.css
perfil.html,810x1080,header/profile-pill,0,radius,18,999,18,981,0,fixed,assets/css/components/shell/app-header-canonical-contract.css; assets/css/components/layout/focused-index-parity-contract.css
perfil.html,810x1080,container/profile-shell-content,0,box.x,164.3,304.3,164.3,140,0,fixed,assets/css/components/shell/shared-page-width-contract.css; assets/css/components/layout/focused-index-parity-contract.css
